topic,audio_genre_label,record_count,share_within_topic
AI music,electronic,45,0.9375
AI music,ambient,2,0.041666666666666664
AI music,hiphop,1,0.020833333333333332
Digital art,electronic,47,0.9591836734693877
Digital art,pop,2,0.04081632653061224
Mindfulness,ambient,33,0.6875
Mindfulness,electronic,10,0.20833333333333334
Mindfulness,pop,3,0.0625
Mindfulness,classical,1,0.020833333333333332
Mindfulness,hiphop,1,0.020833333333333332
Sustainable fashion,electronic,21,0.6
Sustainable fashion,indie,10,0.2857142857142857
Sustainable fashion,ambient,2,0.05714285714285714
Sustainable fashion,pop,2,0.05714285714285714
cycling,electronic,32,0.9142857142857143
cycling,ambient,2,0.05714285714285714
cycling,pop,1,0.02857142857142857
running,electronic,32,0.9142857142857143
running,ambient,1,0.02857142857142857
running,hiphop,1,0.02857142857142857
running,indie,1,0.02857142857142857
swimming,electronic,30,0.9090909090909091
swimming,hiphop,2,0.06060606060606061
swimming,pop,1,0.030303030303030304
